ID,NYC-Q_lemon_1,NYC-Q_lemon_2,NYC-Q_lemon_3,NYC-Q_lemon_4,NYC-Q_lemon_5,NYC-Q_lemon_6,NYC-Q_lemon_7,NYC-Q_lemon_8,NYC-Q_lemon_9,NYC-Q_lemon_10,NYC-Q_lemon_11,NYC-Q_lemon_12,NYC-Q_lemon_13,NYC-Q_lemon_14,NYC-Q_lemon_15,NYC-Q_lemon_16,NYC-Q_lemon_17,NYC-Q_lemon_18,NYC-Q_lemon_19,NYC-Q_lemon_20,NYC-Q_lemon_21,NYC-Q_lemon_22,NYC-Q_lemon_23,NYC-Q_lemon_24,NYC-Q_lemon_25,NYC-Q_lemon_26,NYC-Q_lemon_27,NYC-Q_lemon_28,NYC-Q_lemon_29,NYC-Q_lemon_30,NYC-Q_lemon_31,Unnamed: 32,Unnamed: 33
sub-010040,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,5,5.0,1.0,5,3.0,3.0,1.0,1.0,5.0,1,1.0,6,1,7.0,7.0,6,8.0,3.0,2.0,4.0,4.0,,
sub-010041,1.0,1,1.0,1,5.0,1.0,1.0,1,1,1,1,5.0,1.0,5,1.0,1.0,1.0,1.0,9.0,7,7.0,1,1,5.0,1.0,1,1.0,1.0,1.0,5.0,7.0,,
sub-010042,6.0,8,8.0,3,9.0,3.0,9.0,3,1,1,1,5.0,5.0,6,1.0,4.0,6.0,1.0,7.0,7,5.0,4,8,9.0,8.0,8,9.0,4.0,3.0,5.0,7.0,,
sub-010043,1.0,9,9.0,9,1.0,1.0,1.0,9,1,1,1,9.0,1.0,9,9.0,1.0,1.0,1.0,9.0,9,1.0,1,9,9.0,9.0,1,1.0,1.0,9.0,1.0,1.0,,
sub-010044,6.0,8,8.0,8,7.0,3.0,3.0,3,3,2,3,2.0,2.0,4,8.0,7.0,4.0,8.0,7.0,4,2.0,3,6,7.0,,8,7.0,8.0,8.0,2.0,2.0,,
sub-010045,1.0,1,1.0,1,,1.0,,1,1,1,1,,8.0,8,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1,6.0,8.0,6,1.0,1.0,8.0,1.0,1.0,,
sub-010046,1.0,1,1.0,1,1.0,1.0,1.0,7,1,1,1,1.0,1.0,6,1.0,8.0,1.0,1.0,1.0,6,1.0,1,6,7.0,2.0,5,8.0,1.0,8.0,1.0,5.0,,
sub-010047,1.0,4,,9,7.0,1.0,1.0,1,1,1,1,1.0,5.0,6,8.0,8.0,,5.0,3.0,8,,6,1,8.0,1.0,4,7.0,1.0,6.0,1.0,5.0,,
sub-010048,,9,9.0,9,9.0,3.0,5.0,6,1,1,1,9.0,9.0,1,5.0,5.0,3.0,8.0,6.0,7,7.0,5,1,9.0,5.0,8,7.0,6.0,9.0,5.0,7.0,,
sub-010049,1.0,1,,1,1.0,1.0,1.0,1,1,1,1,,6.0,4,1.0,3.0,,6.0,8.0,4,1.0,1,1,,,,,,9.0,4.0,7.0,,
